Domain,Heuristic,Experiments,Successful,Success_Rate,Avg_Time,Avg_Plan_Length,Avg_Agents
depots,Inc_DTG_Only,1,1,1.0,43.864218950271606,28.0,8.0
depots,DTG+Landmarks,1,1,1.0,43.49195909500122,28.0,8.0
depots,DTG_Only,1,1,1.0,138.53679180145264,0.0,8.0
depots,FF_Heuristic,1,0,0.0,,,8.0
depots,Inc_DTG+Landmarks,1,0,0.0,,,8.0
driverlog,DTG+Landmarks,4,4,1.0,1.69210547208786,16.0,2.5
driverlog,DTG_Only,4,4,1.0,1.4840967059135437,15.5,2.5
driverlog,Inc_DTG_Only,4,4,1.0,1.6952028274536133,16.0,2.5
driverlog,Inc_DTG+Landmarks,4,2,0.5,145.66061210632324,13.0,2.5
driverlog,FF_Heuristic,4,2,0.5,131.92770040035248,13.0,2.5
elevators,Inc_DTG_Only,2,2,1.0,3.368470072746277,20.5,3.0
elevators,DTG_Only,2,2,1.0,2.0461974143981934,20.0,3.0
elevators,DTG+Landmarks,2,2,1.0,3.330552577972412,20.5,3.0
elevators,FF_Heuristic,2,1,0.5,1354.5344891548157,18.0,3.0
elevators,Inc_DTG+Landmarks,2,0,0.0,,,3.0
openstacks,Inc_DTG_Only,2,0,0.0,,,2.0
openstacks,DTG_Only,2,0,0.0,,,2.0
openstacks,FF_Heuristic,2,0,0.0,,,2.0
openstacks,DTG+Landmarks,2,0,0.0,,,2.0
openstacks,Inc_DTG+Landmarks,2,0,0.0,,,2.0
zenotravel,DTG_Only,4,4,1.0,1.355188250541687,13.0,2.5
zenotravel,Inc_DTG_Only,4,4,1.0,1.567558467388153,12.5,2.5
zenotravel,DTG+Landmarks,4,4,1.0,1.5585274696350098,12.5,2.5
zenotravel,FF_Heuristic,4,2,0.5,4.716241955757141,8.0,2.5
zenotravel,Inc_DTG+Landmarks,4,2,0.5,21.94926941394806,7.0,2.5
